时间,铁路客运量_当期值(万人)
2005年1月,9300
2005年2月,10600
2005年3月,9300
2005年4月,9100
2005年5月,9700
2005年6月,8600
2005年7月,10800
2005年8月,11200
2005年9月,9400
2005年10月,10000
2005年11月,8600
2005年12月,8500
2006年1月,10700
2006年2月,11300
2006年3月,9900
2006年4月,9900
2006年5月,10700
2006年6月,9600
2006年7月,12000
2006年8月,12200
2006年9月,10200
2006年10月,11000
2006年11月,9273
2006年12月,9200
2007年1月,9900
2007年2月,11090
2007年3月,11973
2007年4月,10255
2007年5月,11400
2007年6月,10200
2007年7月,13100
2007年8月,13495
2007年9月,11448
2007年10月,12079
2007年11月,10300
2007年12月,10700
2008年1月,11900
2008年2月,12850
2008年3月,11855
2008年4月,11622
2008年5月,11663
2008年6月,11466
2008年7月,13794
2008年8月,14059
2008年9月,12496
2008年10月,12570
2008年11月,10800
2008年12月,10333
2009年1月,13282
2009年2月,13591
2009年3月,11800
2009年4月,12490
2009年5月,12888
2009年6月,11519
2009年7月,14188
2009年8月,15007
2009年9月,12179
2009年10月,13580
2009年11月,11065
2009年12月,10893
2010年1月,12724
2010年2月,14220
2010年3月,14090
2010年4月,13269
2010年5月,13784
2010年6月,13364
2010年7月,16001
2010年8月,16200
2010年9月,13819
2010年10月,15284
2010年11月,12346
2010年12月,12189
2011年1月,15195
2011年2月,15722
2011年3月,14112
2011年4月,15545
2011年5月,15309
2011年6月,15076
2011年7月,18160
2011年8月,17862
2011年9月,16138
2011年10月,16256
2011年11月,13413
2011年12月,13146
2012年1月,16468
2012年2月,15573
2012年3月,14457
2012年4月,16452
2012年5月,14877
2012年6月,16226
2012年7月,17984
2012年8月,18517
2012年9月,16914
2012年10月,15086
2012年11月,14185
2012年12月,14815
2013年1月,18757
2013年2月,14044
2013年3月,16854
2013年4月,17502
2013年5月,16232
2013年6月,18043
2013年7月,19931
2013年8月,20287
2013年9月,19197
2013年10月,16407
2013年11月,15557
2013年12月,17375
2014年1月,19050
2014年2月,15975
2014年3月,18054
2014年4月,19843
2014年5月,19037
2014年6月,19456
2014年7月,22386
2014年8月,23515
2014年9月,20986
2014年10月,17919
2014年11月,17056
2014年12月,22427
2015年1月,17850
2015年2月,19290
2015年3月,21554
2015年4月,21091
2015年5月,21219
2015年6月,20614
2015年7月,24776
2015年8月,25539
2015年9月,21802
2015年10月,22686
2015年11月,18816
2015年12月,18200
2016年1月,21161
2016年2月,24112
2016年3月,21242
2016年4月,23900
2016年5月,22886
2016年6月,23200
2016年7月,26818
2016年8月,28007
2016年9月,23918
2016年10月,25001
